,Utilisateur,Date,Heure,Action,Attribut
36880,mwollenburger,2009-04-06,02:21:01,Afficher le contenu d''un message,IDMSGTEST=2591
36881,mwollenburger,2009-04-06,02:21:46,Afficher le contenu d''un message,IDFORUMTEST=354
36882,mwollenburger,2009-04-06,02:21:46,Afficher le contenu d''un message,IDMSGTEST=2595
36883,mwollenburger,2009-04-06,02:24:44,Afficher une structure (cours/forum),IDFORUMTEST=355
36884,mwollenburger,2009-04-06,02:24:51,Afficher le contenu d''un message,IDFORUMTEST=355
36885,mwollenburger,2009-04-06,02:24:51,Afficher le contenu d''un message,IDMSGTEST=2594
36886,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,IDFORUMTEST=355
36887,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,IDMSGTEST=2594
36888,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,ScrollVertical
36889,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,IDFORUMTEST=355
36890,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,IDMSGTEST=2594
36891,mwollenburger,2009-04-06,09:24:52,Bouger la scrollbar en bas,ScrollVertical
36892,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,IDFORUMTEST=355
36893,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,IDMSGTEST=2594
36894,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,ScrollVertical
36895,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,IDFORUMTEST=355
36896,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,IDMSGTEST=2594
36897,mwollenburger,2009-04-06,09:24:53,Bouger la scrollbar en bas,ScrollVertical
36898,mwollenburger,2009-04-06,09:24:55,Bouger la scrollbar en bas,IDFORUMTEST=355
36899,mwollenburger,2009-04-06,09:24:55,Bouger la scrollbar en bas,IDMSGTEST=2594
36900,mwollenburger,2009-04-06,09:24:55,Bouger la scrollbar en bas,ScrollVertical
36901,mwollenburger,2009-04-06,09:24:56,Bouger la scrollbar en bas,IDFORUMTEST=355
36902,mwollenburger,2009-04-06,09:24:56,Bouger la scrollbar en bas,IDMSGTEST=2594
36903,mwollenburger,2009-04-06,09:24:56,Bouger la scrollbar en bas,ScrollVertical
36904,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,IDFORUMTEST=355
36905,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,IDMSGTEST=2594
36906,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,ScrollVertical
36907,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,IDFORUMTEST=355
36908,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,IDMSGTEST=2594
36909,mwollenburger,2009-04-06,09:24:58,Bouger la scrollbar en bas,ScrollVertical
36910,mwollenburger,2009-04-06,09:25:03,Bouger la scrollbar en bas,IDFORUMTEST=355
36911,mwollenburger,2009-04-06,09:25:03,Bouger la scrollbar en bas,IDMSGTEST=2594
36912,mwollenburger,2009-04-06,09:25:03,Bouger la scrollbar en bas,ScrollVertical
36913,mwollenburger,2009-04-06,09:25:16,Bouger la scrollbar en bas,IDFORUMTEST=355
36914,mwollenburger,2009-04-06,09:25:16,Bouger la scrollbar en bas,IDMSGTEST=2594
